date,tone_score,tone_lag_1,tone_lag_2,tone_lag_3
2021-02-01,0.0162,,,
2021-02-02,-0.9136,0.0162,,
2021-02-03,-0.5175,-0.9136,0.0162,
2021-02-04,0.7227,-0.5175,-0.9136,0.0162
2021-02-05,0.6755,0.7227,-0.5175,-0.9136
2021-02-06,2.1518,0.6755,0.7227,-0.5175
2021-02-07,-1.997,2.1518,0.6755,0.7227
2021-02-08,1.0828,-1.997,2.1518,0.6755
2021-02-09,0.1135,1.0828,-1.997,2.1518
2021-02-10,0.0853,0.1135,1.0828,-1.997
2021-02-11,-0.7644,0.0853,0.1135,1.0828
2021-02-12,-1.1477,-0.7644,0.0853,0.1135
2021-02-13,1.3452,-1.1477,-0.7644,0.0853
2021-02-14,-3.1075,1.3452,-1.1477,-0.7644
2021-02-15,1.1337,-3.1075,1.3452,-1.1477
2021-02-16,0.0644,1.1337,-3.1075,1.3452
2021-02-17,0.3861,0.0644,1.1337,-3.1075
2021-02-18,-0.9091,0.3861,0.0644,1.1337
2021-02-19,0.4357,-0.9091,0.3861,0.0644
2021-02-20,0.0,0.4357,-0.9091,0.3861
2021-02-21,0.7811,0.0,0.4357,-0.9091
2021-02-22,-0.8765,0.7811,0.0,0.4357
2021-02-23,-0.7332,-0.8765,0.7811,0.0
2021-02-24,0.8493,-0.7332,-0.8765,0.7811
2021-02-25,0.8442,0.8493,-0.7332,-0.8765
2021-02-26,-0.8747,0.8442,0.8493,-0.7332
2021-02-27,1.586,-0.8747,0.8442,0.8493
2021-02-28,1.5261,1.586,-0.8747,0.8442
2021-03-01,-0.035,1.5261,1.586,-0.8747
2021-03-02,0.695,-0.035,1.5261,1.586
2021-03-03,3.8023,0.695,-0.035,1.5261
2021-03-04,0.2185,3.8023,0.695,-0.035
2021-03-05,1.955,0.2185,3.8023,0.695
2021-03-06,4.3134,1.955,0.2185,3.8023
2021-03-07,1.5715,4.3134,1.955,0.2185
2021-03-08,2.8715,1.5715,4.3134,1.955
2021-03-09,0.9749,2.8715,1.5715,4.3134
2021-03-10,0.4013,0.9749,2.8715,1.5715
2021-03-11,1.7466,0.4013,0.9749,2.8715
2021-03-12,0.6475,1.7466,0.4013,0.9749
2021-03-13,0.4728,0.6475,1.7466,0.4013
2021-03-14,2.3253,0.4728,0.6475,1.7466
2021-03-15,-1.1855,2.3253,0.4728,0.6475
2021-03-16,1.0056,-1.1855,2.3253,0.4728
2021-03-17,1.5917,1.0056,-1.1855,2.3253
2021-03-18,3.6306,1.5917,1.0056,-1.1855
2021-03-19,-0.5566,3.6306,1.5917,1.0056
2021-03-20,1.1343,-0.5566,3.6306,1.5917
2021-03-21,0.694,1.1343,-0.5566,3.6306
2021-03-22,1.684,0.694,1.1343,-0.5566
2021-03-23,0.8161,1.684,0.694,1.1343
2021-03-24,0.5651,0.8161,1.684,0.694
2021-03-25,3.538,0.5651,0.8161,1.684
2021-03-26,1.8136,3.538,0.5651,0.8161
2021-03-27,-0.3068,1.8136,3.538,0.5651
2021-03-28,-0.21,-0.3068,1.8136,3.538
2021-03-29,1.2468,-0.21,-0.3068,1.8136
2021-03-30,0.6534,1.2468,-0.21,-0.3068
2021-03-31,2.3402,0.6534,1.2468,-0.21
2021-04-01,0.9817,2.3402,0.6534,1.2468
2021-04-02,2.6181,0.9817,2.3402,0.6534
2021-04-03,2.3185,2.6181,0.9817,2.3402
2021-04-04,1.2264,2.3185,2.6181,0.9817
2021-04-05,2.1777,1.2264,2.3185,2.6181
2021-04-06,-0.7888,2.1777,1.2264,2.3185
2021-04-07,1.1017,-0.7888,2.1777,1.2264
2021-04-08,1.1911,1.1017,-0.7888,2.1777
2021-04-09,-0.6448,1.1911,1.1017,-0.7888
2021-04-10,1.5112,-0.6448,1.1911,1.1017
2021-04-11,2.2449,1.5112,-0.6448,1.1911
2021-04-12,-2.2183,2.2449,1.5112,-0.6448
2021-04-13,0.1823,-2.2183,2.2449,1.5112
2021-04-14,0.8448,0.1823,-2.2183,2.2449
2021-04-15,1.0566,0.8448,0.1823,-2.2183
2021-04-16,-1.2363,1.0566,0.8448,0.1823
2021-04-17,4.014,-1.2363,1.0566,0.8448
2021-04-18,0.2696,4.014,-1.2363,1.0566
2021-04-19,0.7635,0.2696,4.014,-1.2363
2021-04-20,1.4319,0.7635,0.2696,4.014
2021-04-21,1.7678,1.4319,0.7635,0.2696
2021-04-22,2.0794,1.7678,1.4319,0.7635
2021-04-23,1.1714,2.0794,1.7678,1.4319
2021-04-24,0.4203,1.1714,2.0794,1.7678
2021-04-25,1.294,0.4203,1.1714,2.0794
2021-04-26,1.6562,1.294,0.4203,1.1714
2021-04-27,1.018,1.6562,1.294,0.4203
2021-04-28,-0.954,1.018,1.6562,1.294
2021-04-29,1.1607,-0.954,1.018,1.6562
2021-04-30,1.042,1.1607,-0.954,1.018
2021-05-01,2.6347,1.042,1.1607,-0.954
2021-05-02,-2.0523,2.6347,1.042,1.1607
2021-05-03,-0.8593,-2.0523,2.6347,1.042
2021-05-04,1.1066,-0.8593,-2.0523,2.6347
2021-05-05,-0.4083,1.1066,-0.8593,-2.0523
2021-05-06,1.232,-0.4083,1.1066,-0.8593
2021-05-07,0.6697,1.232,-0.4083,1.1066
2021-05-08,1.5403,0.6697,1.232,-0.4083
2021-05-09,-1.4494,1.5403,0.6697,1.232
2021-05-10,1.864,-1.4494,1.5403,0.6697
2021-05-11,1.9663,1.864,-1.4494,1.5403
2021-05-12,-0.4775,1.9663,1.864,-1.4494
2021-05-13,1.8825,-0.4775,1.9663,1.864
2021-05-14,1.4988,1.8825,-0.4775,1.9663
2021-05-15,1.7459,1.4988,1.8825,-0.4775
2021-05-16,-1.381,1.7459,1.4988,1.8825
2021-05-17,0.1726,-1.381,1.7459,1.4988
2021-05-18,1.7086,0.1726,-1.381,1.7459
2021-05-19,1.5237,1.7086,0.1726,-1.381
2021-05-20,0.4943,1.5237,1.7086,0.1726
2021-05-21,0.2659,0.4943,1.5237,1.7086
2021-05-22,-0.2563,0.2659,0.4943,1.5237
2021-05-23,-0.7536,-0.2563,0.2659,0.4943
