date,tone_score
2021-02-01,0.0162
2021-02-02,-0.9136
2021-02-03,-0.5175
2021-02-04,0.7227
2021-02-05,0.6755
2021-02-06,2.1518
2021-02-07,-1.997
2021-02-08,1.0828
2021-02-09,0.1135
2021-02-10,0.0853
2021-02-11,-0.7644
2021-02-12,-1.1477
2021-02-13,1.3452
2021-02-14,-3.1075
2021-02-15,1.1337
2021-02-16,0.0644
2021-02-17,0.3861
2021-02-18,-0.9091
2021-02-19,0.4357
2021-02-20,0.0
2021-02-21,0.7811
2021-02-22,-0.8765
2021-02-23,-0.7332
2021-02-24,0.8493
2021-02-25,0.8442
2021-02-26,-0.8747
2021-02-27,1.586
2021-02-28,1.5261
2021-03-01,-0.035
2021-03-02,0.695
2021-03-03,3.8023
2021-03-04,0.2185
2021-03-05,1.955
2021-03-06,4.3134
2021-03-07,1.5715
2021-03-08,2.8715
2021-03-09,0.9749
2021-03-10,0.4013
2021-03-11,1.7466
2021-03-12,0.6475
2021-03-13,0.4728
2021-03-14,2.3253
2021-03-15,-1.1855
2021-03-16,1.0056
2021-03-17,1.5917
2021-03-18,3.6306
2021-03-19,-0.5566
2021-03-20,1.1343
2021-03-21,0.694
2021-03-22,1.684
2021-03-23,0.8161
2021-03-24,0.5651
2021-03-25,3.538
2021-03-26,1.8136
2021-03-27,-0.3068
2021-03-28,-0.21
2021-03-29,1.2468
2021-03-30,0.6534
2021-03-31,2.3402
2021-04-01,0.9817
2021-04-02,2.6181
2021-04-03,2.3185
2021-04-04,1.2264
2021-04-05,2.1777
2021-04-06,-0.7888
2021-04-07,1.1017
2021-04-08,1.1911
2021-04-09,-0.6448
2021-04-10,1.5112
2021-04-11,2.2449
2021-04-12,-2.2183
2021-04-13,0.1823
2021-04-14,0.8448
2021-04-15,1.0566
2021-04-16,-1.2363
2021-04-17,4.014
2021-04-18,0.2696
2021-04-19,0.7635
2021-04-20,1.4319
2021-04-21,1.7678
2021-04-22,2.0794
2021-04-23,1.1714
2021-04-24,0.4203
2021-04-25,1.294
2021-04-26,1.6562
2021-04-27,1.018
2021-04-28,-0.954
2021-04-29,1.1607
2021-04-30,1.042
2021-05-01,2.6347
2021-05-02,-2.0523
2021-05-03,-0.8593
2021-05-04,1.1066
2021-05-05,-0.4083
2021-05-06,1.232
2021-05-07,0.6697
2021-05-08,1.5403
2021-05-09,-1.4494
2021-05-10,1.864
2021-05-11,1.9663
2021-05-12,-0.4775
2021-05-13,1.8825
2021-05-14,1.4988
2021-05-15,1.7459
2021-05-16,-1.381
2021-05-17,0.1726
2021-05-18,1.7086
2021-05-19,1.5237
2021-05-20,0.4943
2021-05-21,0.2659
2021-05-22,-0.2563
2021-05-23,-0.7536
2021-05-24,0.6018
2021-05-25,0.4942
2021-05-26,1.1554
2021-05-27,0.3512
2021-05-28,1.6819
2021-05-29,1.0936
2021-05-30,-1.2116
2021-05-31,-0.5602
2021-06-01,-0.1931
2021-06-02,1.1838
2021-06-03,2.2146
2021-06-04,0.6741
2021-06-05,1.1775
2021-06-06,2.3293
2021-06-07,1.1217
2021-06-08,0.6809
2021-06-09,-0.5091
2021-06-10,-0.743
2021-06-11,-1.2043
2021-06-12,0.5195
2021-06-13,1.2997
2021-06-14,0.52
2021-06-15,1.818
2021-06-16,-0.1348
2021-06-17,1.1942
2021-06-18,-2.1391
2021-06-19,1.0333
2021-06-20,0.8611
2021-06-21,0.4849
2021-06-22,1.1307
2021-06-23,1.4284
2021-06-24,1.0687
2021-06-25,1.9351
2021-06-26,-0.427
2021-06-27,1.5807
2021-06-28,0.2215
2021-06-29,-1.1794
2021-06-30,-1.1509
2021-07-01,2.0175
2021-07-02,1.2458
2021-07-03,0.2588
2021-07-04,0.016
2021-07-05,-0.1429
2021-07-06,0.5732
2021-07-07,-0.7741
2021-07-08,0.7386
2021-07-09,-0.6596
2021-07-10,-1.3694
2021-07-11,-1.6376
2021-07-12,0.637
2021-07-13,-0.0876
2021-07-14,0.6309
2021-07-15,-0.3437
2021-07-16,0.9802
2021-07-17,1.2953
2021-07-18,2.3367
2021-07-19,0.1561
2021-07-20,1.8914
2021-07-21,1.8777
2021-07-22,0.6453
2021-07-23,0.4351
2021-07-24,1.3774
2021-07-25,-0.5691
2021-07-26,-1.6358
2021-07-27,1.2875
2021-07-28,0.8335
2021-07-29,2.2784
2021-07-30,-0.2126
2021-07-31,-1.8322
2021-08-01,1.2804
2021-08-02,2.1315
2021-08-03,1.5708
2021-08-04,1.1327
2021-08-05,2.1246
2021-08-06,1.641
2021-08-07,-2.1262
2021-08-08,0.7086
2021-08-09,0.6738
2021-08-10,0.4163
2021-08-11,0.5554
2021-08-12,-0.1623
2021-08-13,2.5311
2021-08-14,1.1761
2021-08-15,1.1938
2021-08-16,1.9357
2021-08-17,-0.5866
2021-08-18,-1.4741
2021-08-19,0.4989
2021-08-20,1.6154
2021-08-21,1.1897
2021-08-22,-0.0062
2021-08-23,1.3028
2021-08-24,-0.1013
2021-08-25,1.1663
2021-08-26,0.3853
2021-08-27,0.0417
2021-08-28,0.9198
2021-08-29,1.3701
2021-08-30,0.6498
2021-08-31,0.6627
2021-09-01,1.3237
2021-09-02,0.6941
2021-09-03,0.9244
2021-09-04,0.1883
2021-09-05,0.1173
2021-09-06,0.9033
2021-09-07,0.309
2021-09-08,-0.168
2021-09-09,0.948
2021-09-10,0.0364
2021-09-11,-0.2136
2021-09-12,-0.2052
2021-09-13,0.5447
2021-09-14,0.9431
2021-09-15,-1.7604
2021-09-16,-1.0444
2021-09-17,0.6043
2021-09-18,-0.2388
2021-09-19,-1.2018
2021-09-20,-0.6789
2021-09-21,0.1437
2021-09-22,-0.7151
2021-09-23,-1.2724
2021-09-24,-2.1363
2021-09-25,-1.6619
2021-09-26,-1.4396
2021-09-27,-0.6713
2021-09-28,0.6151
2021-09-29,0.6759
2021-09-30,-0.6181
2021-10-01,0.32
2021-10-02,0.2798
2021-10-03,0.3431
2021-10-04,-0.5846
2021-10-05,-2.3911
2021-10-06,0.1607
2021-10-07,1.0738
2021-10-08,1.6291
2021-10-09,0.4564
2021-10-10,2.5947
2021-10-11,1.484
2021-10-12,-0.1098
2021-10-13,1.4677
2021-10-14,0.8445
2021-10-15,1.8289
2021-10-16,1.5246
2021-10-17,0.6869
2021-10-18,0.3656
2021-10-19,1.5107
2021-10-20,0.5656
2021-10-21,1.0091
2021-10-22,0.595
2021-10-23,-0.8139
2021-10-24,0.6664
2021-10-25,0.7825
2021-10-26,1.1492
2021-10-27,0.8703
2021-10-28,0.8275
2021-10-29,2.1489
2021-10-30,-1.0079
2021-10-31,0.8373
2021-11-01,0.6628
2021-11-02,1.4356
2021-11-03,1.4653
2021-11-04,0.2403
2021-11-05,-0.1173
2021-11-06,-0.5745
2021-11-07,0.2605
2021-11-08,0.9156
2021-11-09,0.758
2021-11-10,1.1861
2021-11-11,1.2059
2021-11-12,2.131
2021-11-13,1.8883
2021-11-14,1.3564
2021-11-15,1.7002
2021-11-16,0.356
2021-11-17,1.1638
2021-11-18,0.924
2021-11-19,-1.0528
2021-11-20,0.7319
2021-11-21,0.1306
2021-11-22,1.2127
2021-11-23,1.1521
2021-11-24,0.3872
2021-11-25,0.6568
2021-11-26,-0.6952
2021-11-27,-0.7698
2021-11-28,0.3948
2021-11-29,-0.3873
2021-11-30,0.4067
2021-12-01,0.7959
2021-12-02,0.7324
2021-12-03,0.03
2021-12-04,0.8728
2021-12-05,-0.3867
2021-12-06,0.1323
2021-12-07,0.8183
2021-12-08,0.3536
2021-12-09,2.0175
2021-12-10,0.0557
2021-12-11,0.6119
2021-12-12,1.6982
2021-12-13,-0.0085
2021-12-14,0.1036
2021-12-15,1.7114
2021-12-16,2.4906
2021-12-17,0.7658
2021-12-18,1.0026
2021-12-19,0.4081
2021-12-20,0.7169
2021-12-21,-0.1477
2021-12-22,-0.0277
2021-12-23,0.9764
2021-12-24,1.9416
